task_id,mode,classification,stop_reason,discovery_nanos,successful_search_rerun_nanos
sf.lean.VFA.01-PermCaseStudy.theorem.CaseStudies.SF.VFA.PermCaseStudy.Forall.mem.prove,committed,closed,other_or_unreported,12175400633,12258327162
sf.lean.VFA.01-PermCaseStudy.theorem.CaseStudies.SF.VFA.PermCaseStudy.Forall.mem.prove,search,completed_discovery_failure,ambient_resource_limit,21403127915,
sf.lean.VFA.01-PermCaseStudy.theorem.CaseStudies.SF.VFA.PermCaseStudy.Forall.of_mem.prove,committed,completed_discovery_failure,ambient_resource_limit,23946005080,
sf.lean.VFA.01-PermCaseStudy.theorem.CaseStudies.SF.VFA.PermCaseStudy.Forall.of_mem.prove,search,completed_discovery_failure,ambient_resource_limit,23210500050,
sf.lean.VFA.01-PermCaseStudy.theorem.CaseStudies.SF.VFA.PermCaseStudy.Forall_perm'.prove,committed,closed,other_or_unreported,349886118,350067155
sf.lean.VFA.01-PermCaseStudy.theorem.CaseStudies.SF.VFA.PermCaseStudy.Forall_perm'.prove,search,closed,other_or_unreported,510023639,601855215
sf.lean.VFA.01-PermCaseStudy.theorem.CaseStudies.SF.VFA.PermCaseStudy.Forall_perm.prove,committed,closed,other_or_unreported,449739214,433732134
sf.lean.VFA.01-PermCaseStudy.theorem.CaseStudies.SF.VFA.PermCaseStudy.Forall_perm.prove,search,closed,other_or_unreported,629681618,514676337
sf.lean.VFA.01-PermCaseStudy.theorem.CaseStudies.SF.VFA.PermCaseStudy.butterfly.prove,committed,closed,other_or_unreported,491465982,487642892
sf.lean.VFA.01-PermCaseStudy.theorem.CaseStudies.SF.VFA.PermCaseStudy.butterfly.prove,search,closed,other_or_unreported,485478824,490728423
sf.lean.VFA.01-PermCaseStudy.theorem.CaseStudies.SF.VFA.PermCaseStudy.eqb_reflect.prove,committed,closed,other_or_unreported,13794246,13357757
sf.lean.VFA.01-PermCaseStudy.theorem.CaseStudies.SF.VFA.PermCaseStudy.eqb_reflect.prove,search,closed,other_or_unreported,13201276,26094899
sf.lean.VFA.01-PermCaseStudy.theorem.CaseStudies.SF.VFA.PermCaseStudy.geb_reflect.prove,committed,closed,other_or_unreported,1538425571,1529024785
sf.lean.VFA.01-PermCaseStudy.theorem.CaseStudies.SF.VFA.PermCaseStudy.geb_reflect.prove,search,closed,other_or_unreported,1532052655,1535130063
sf.lean.VFA.01-PermCaseStudy.theorem.CaseStudies.SF.VFA.PermCaseStudy.gtb_reflect.prove,committed,closed,other_or_unreported,1411193866,1403036125
sf.lean.VFA.01-PermCaseStudy.theorem.CaseStudies.SF.VFA.PermCaseStudy.gtb_reflect.prove,search,closed,other_or_unreported,1412607423,1424163835
sf.lean.VFA.01-PermCaseStudy.theorem.CaseStudies.SF.VFA.PermCaseStudy.leb_reflect.prove,committed,closed,other_or_unreported,11040753,11522854
sf.lean.VFA.01-PermCaseStudy.theorem.CaseStudies.SF.VFA.PermCaseStudy.leb_reflect.prove,search,closed,other_or_unreported,11078347,11094161
sf.lean.VFA.01-PermCaseStudy.theorem.CaseStudies.SF.VFA.PermCaseStudy.lia_example1.prove,committed,closed,other_or_unreported,58420916,26597716
sf.lean.VFA.01-PermCaseStudy.theorem.CaseStudies.SF.VFA.PermCaseStudy.lia_example1.prove,search,closed,other_or_unreported,39241659,27173122
sf.lean.VFA.01-PermCaseStudy.theorem.CaseStudies.SF.VFA.PermCaseStudy.lia_example2.prove,committed,closed,other_or_unreported,9970318,9814745
sf.lean.VFA.01-PermCaseStudy.theorem.CaseStudies.SF.VFA.PermCaseStudy.lia_example2.prove,search,closed,other_or_unreported,9366476,22752567
sf.lean.VFA.01-PermCaseStudy.theorem.CaseStudies.SF.VFA.PermCaseStudy.lia_example_3.prove,committed,closed,other_or_unreported,14193309,13948090
sf.lean.VFA.01-PermCaseStudy.theorem.CaseStudies.SF.VFA.PermCaseStudy.lia_example_3.prove,search,closed,other_or_unreported,13881257,35657296
sf.lean.VFA.01-PermCaseStudy.theorem.CaseStudies.SF.VFA.PermCaseStudy.lia_example_4.prove,committed,closed,other_or_unreported,96541688,94022361
sf.lean.VFA.01-PermCaseStudy.theorem.CaseStudies.SF.VFA.PermCaseStudy.lia_example_4.prove,search,closed,other_or_unreported,94365502,204662150
sf.lean.VFA.01-PermCaseStudy.theorem.CaseStudies.SF.VFA.PermCaseStudy.ltb_reflect.prove,committed,closed,other_or_unreported,17292530,16959079
sf.lean.VFA.01-PermCaseStudy.theorem.CaseStudies.SF.VFA.PermCaseStudy.ltb_reflect.prove,search,closed,other_or_unreported,16273580,15983781
sf.lean.VFA.01-PermCaseStudy.theorem.CaseStudies.SF.VFA.PermCaseStudy.maybe_swap_123.prove,committed,closed,other_or_unreported,4748849,4601637
sf.lean.VFA.01-PermCaseStudy.theorem.CaseStudies.SF.VFA.PermCaseStudy.maybe_swap_123.prove,search,closed,other_or_unreported,4333622,5032395
sf.lean.VFA.01-PermCaseStudy.theorem.CaseStudies.SF.VFA.PermCaseStudy.maybe_swap_321.prove,committed,closed,other_or_unreported,4632207,4601628
sf.lean.VFA.01-PermCaseStudy.theorem.CaseStudies.SF.VFA.PermCaseStudy.maybe_swap_321.prove,search,closed,other_or_unreported,4000945,8322024
sf.lean.VFA.01-PermCaseStudy.theorem.CaseStudies.SF.VFA.PermCaseStudy.maybe_swap_correct.prove,committed,closed,other_or_unreported,12058826420,12028515971
sf.lean.VFA.01-PermCaseStudy.theorem.CaseStudies.SF.VFA.PermCaseStudy.maybe_swap_correct.prove,search,completed_discovery_failure,ambient_resource_limit,21811825994,
sf.lean.VFA.01-PermCaseStudy.theorem.CaseStudies.SF.VFA.PermCaseStudy.maybe_swap_idempotent.prove,committed,closed,other_or_unreported,2315458046,2306806568
sf.lean.VFA.01-PermCaseStudy.theorem.CaseStudies.SF.VFA.PermCaseStudy.maybe_swap_idempotent.prove,search,closed,other_or_unreported,3411252401,3409779760
sf.lean.VFA.01-PermCaseStudy.theorem.CaseStudies.SF.VFA.PermCaseStudy.maybe_swap_perm.prove,committed,closed,other_or_unreported,7537312531,7526612544
sf.lean.VFA.01-PermCaseStudy.theorem.CaseStudies.SF.VFA.PermCaseStudy.maybe_swap_perm.prove,search,completed_discovery_failure,ambient_resource_limit,21916658286,
sf.lean.VFA.01-PermCaseStudy.theorem.CaseStudies.SF.VFA.PermCaseStudy.not_a_permutation.prove,committed,closed,other_or_unreported,22915824,22400821
sf.lean.VFA.01-PermCaseStudy.theorem.CaseStudies.SF.VFA.PermCaseStudy.not_a_permutation.prove,search,closed,other_or_unreported,22845718,22999323
