case,mode,ordinary,hint,replacement,ordinary_run,hint_run,hint_search_complete,hint_failure_phase,hint_failure_seconds,term_fallback,ordinary_seconds,hint_seconds,replacement_seconds,hint_lines,ordinary_error,hint_error,replacement_error,ordinary_timeout,hint_timeout,ordinary_started,hint_started
Acl2/QuicksortCaseStudy::allGe_append,committed,True,True,True,v4,v5,True,,,False,23.283339756,22.297680569,0.152820217,14,,,,False,False,True,True
Acl2/QuicksortCaseStudy::allGe_qsort,committed,False,False,,v4,v5,False,discovery,86.170233284,False,86.567930221,,,,/tmp/waterfall-hints-nq2487rv/Probe-committed-072-syntax.lean:193:4: error: waterfall reached the ambient resource limit,/tmp/waterfall-hints-h4gvwba7/Probe-committed-072-api.lean:193:70: error: waterfall reached the ambient resource limit,,False,False,True,True
Acl2/QuicksortCaseStudy::allGe_upper,committed,True,True,True,v4,v5,True,,,False,5.407548764,5.525242388,0.092957509,14,,,,False,False,True,True
Acl2/QuicksortCaseStudy::allLt_append,committed,True,True,True,v4,v5,True,,,False,18.811342765,19.353530566,0.143581383,14,,,,False,False,True,True
Acl2/QuicksortCaseStudy::allLt_lower,committed,True,True,True,v4,v5,True,,,False,5.125108256,5.42181446,0.090838783,14,,,,False,False,True,True
Acl2/QuicksortCaseStudy::allLt_qsort,committed,False,False,,v4,v5,False,discovery,86.874093385,False,83.14587335,,,,/tmp/waterfall-hints-6s_udbc1/Probe-committed-071-syntax.lean:188:4: error: waterfall reached the ambient resource limit,/tmp/waterfall-hints-cpltucwu/Probe-committed-071-api.lean:188:70: error: waterfall reached the ambient resource limit,,False,False,True,True
Acl2/QuicksortCaseStudy::count_append,committed,False,False,,v4,v5,False,discovery,51.284637927,False,43.319844843,,,,/tmp/waterfall-hints-evlun7t8/Probe-committed-063-syntax.lean:110:4: error: waterfall exhausted 10000 attempts at depth 8,/tmp/waterfall-hints-9jeehflx/Probe-committed-063-api.lean:110:71: error: waterfall exhausted 10000 attempts at depth 8,,False,False,True,True
Acl2/QuicksortCaseStudy::count_deleteOne_other,committed,False,False,,v4,v5,False,discovery,79.902603,False,77.852201951,,,,/tmp/waterfall-hints-bmvcuo98/Probe-committed-080-syntax.lean:229:4: error: waterfall reached the ambient resource limit,/tmp/waterfall-hints-k_04by1f/Probe-committed-080-api.lean:229:80: error: waterfall reached the ambient resource limit,,False,False,True,True
Acl2/QuicksortCaseStudy::count_deleteOne_self,committed,False,False,,v4,v5,False,discovery,88.031893229,False,83.064805782,,,,/tmp/waterfall-hints-evlun7t8/Probe-committed-079-syntax.lean:225:4: error: waterfall reached the ambient resource limit,/tmp/waterfall-hints-9jeehflx/Probe-committed-079-api.lean:225:79: error: waterfall reached the ambient resource limit,,False,False,True,True
Acl2/QuicksortCaseStudy::count_lower_upper,committed,False,False,,v4,v5,False,discovery,64.699222555,False,62.170972452,,,,/tmp/waterfall-hints-bmvcuo98/Probe-committed-064-syntax.lean:115:4: error: waterfall exhausted 10000 attempts at depth 8,/tmp/waterfall-hints-k_04by1f/Probe-committed-064-api.lean:115:76: error: waterfall exhausted 10000 attempts at depth 8,,False,False,True,True
Acl2/QuicksortCaseStudy::count_lower_upper_add,committed,True,True,True,v4,v5,True,,,False,0.131266255,0.134162582,0.059336401,5,,,,False,False,True,True
Acl2/QuicksortCaseStudy::count_pos_of_mem,committed,True,True,True,v4,v5,True,,,False,5.235205386,4.588844662,0.199437059,16,,,,False,False,True,True
Acl2/QuicksortCaseStudy::lower_length_le,committed,True,True,True,v4,v5,True,,,False,5.974723742,6.178649907,0.04399219,12,,,,False,False,True,True
Acl2/QuicksortCaseStudy::mem_of_count_pos,committed,False,False,,v4,v5,False,discovery,85.75815989,False,82.150012618,,,,/tmp/waterfall-hints-nfhmg2w4/Probe-committed-076-syntax.lean:214:4: error: waterfall reached the ambient resource limit,/tmp/waterfall-hints-esa1imb5/Probe-committed-076-api.lean:214:75: error: waterfall reached the ambient resource limit,,False,False,True,True
Acl2/QuicksortCaseStudy::nil_of_count_zero,committed,True,True,True,v4,v5,True,,,False,3.289123544,3.793108339,0.45057059,39,,,,False,False,True,True
Acl2/QuicksortCaseStudy::ordered_append_with_pivot,committed,False,False,,v4,v5,False,discovery,86.285804388,False,86.53956553,,,,/tmp/waterfall-hints-_kff2h_g/Probe-committed-073-syntax.lean:198:4: error: waterfall reached the ambient resource limit,/tmp/waterfall-hints-y6yev672/Probe-committed-073-api.lean:198:84: error: waterfall reached the ambient resource limit,,False,False,True,True
Acl2/QuicksortCaseStudy::ordered_pivot_cons,committed,True,True,True,v4,v5,True,,,False,12.411838871,13.720277842,0.014934231,23,,,,False,False,True,True
Acl2/QuicksortCaseStudy::perm_of_count_eq,committed,True,True,True,v4,v5,True,,,False,70.396933515,69.120004523,0.699063063,28,,,,False,False,True,True
Acl2/QuicksortCaseStudy::qsort_count,committed,False,False,,v4,v5,False,discovery,130.001008879,False,160.599729307,,,,/tmp/waterfall-hints-p8w750k2/Probe-committed-066-syntax.lean:132:4: error: waterfall reached the ambient resource limit,/tmp/waterfall-hints-xsnxqot3/Probe-committed-066-api.lean:132:70: error: waterfall reached the ambient resource limit,,False,False,True,True
Acl2/QuicksortCaseStudy::qsort_ordered,committed,False,False,,v4,v5,False,discovery,88.8788064,False,85.184142587,,,,/tmp/waterfall-hints-h04jbivk/Probe-committed-075-syntax.lean:210:4: error: waterfall reached the ambient resource limit,/tmp/waterfall-hints-zw18sr56/Probe-committed-075-api.lean:210:72: error: waterfall reached the ambient resource limit,,False,False,True,True
Acl2/QuicksortCaseStudy::qsort_perm,committed,True,True,True,v4,v5,True,,,False,0.071421588,0.140391933,0.055364385,11,,,,False,False,True,True
Acl2/QuicksortCaseStudy::upper_length_le,committed,True,True,True,v4,v5,True,,,False,6.483710866,6.751354599,0.047263487,11,,,,False,False,True,True
Acl2/RevappendCaseStudy::acl2_app_assoc,committed,True,True,True,v4,v5,True,,,False,25.325986342,25.930562306,0.098887885,23,,,,False,False,True,True
Acl2/RevappendCaseStudy::acl2_app_nil,committed,True,True,True,v4,v5,True,,,False,6.201040629,6.353978203,0.035494601,22,,,,False,False,True,True
Acl2/RevappendCaseStudy::acl2_len_app,committed,True,True,True,v4,v5,True,,,False,38.700100165,40.892684977,0.178333985,25,,,,False,False,True,True
Acl2/RevappendCaseStudy::acl2_len_revappend,committed,False,False,,v4,v5,False,discovery,163.863149668,False,168.782567309,,,,/tmp/waterfall-hints-p8w750k2/Probe-committed-098-syntax.lean:215:4: error: waterfall reached the ambient resource limit,/tmp/waterfall-hints-xsnxqot3/Probe-committed-098-api.lean:215:77: error: waterfall reached the ambient resource limit,,False,False,True,True
Acl2/RevappendCaseStudy::acl2_mem_app,committed,False,False,,v4,v5,False,discovery,81.189845004,False,78.528804567,,,,/tmp/waterfall-hints-bmvcuo98/Probe-committed-096-syntax.lean:206:4: error: waterfall reached the ambient resource limit,/tmp/waterfall-hints-k_04by1f/Probe-committed-096-api.lean:206:71: error: waterfall reached the ambient resource limit,,False,False,True,True
Acl2/RevappendCaseStudy::acl2_mem_revappend,committed,False,False,,v4,v5,False,discovery,88.200863729,False,85.298943468,,,,/tmp/waterfall-hints-qunyw7k0/Probe-committed-099-syntax.lean:219:4: error: waterfall reached the ambient resource limit,/tmp/waterfall-hints-_54991vh/Probe-committed-099-api.lean:219:77: error: waterfall reached the ambient resource limit,,False,False,True,True
Acl2/RevappendCaseStudy::acl2_revappend_removal,committed,True,True,True,v4,v5,True,,,False,11.493258206,11.88327254,0.164842854,25,,,,False,False,True,True
Acl2/RevappendCaseStudy::app_assoc,committed,True,True,True,v4,v5,True,,,False,4.795040051,4.7801837,0.008728285,15,,,,False,False,True,True
Acl2/RevappendCaseStudy::app_nil,committed,True,True,True,v4,v5,True,,,False,2.599486816,2.650470396,0.006509211,15,,,,False,False,True,True
Acl2/RevappendCaseStudy::len_app,committed,True,True,True,v4,v5,True,,,False,4.458120809,4.370353142,0.057687829,12,,,,False,False,True,True
Acl2/RevappendCaseStudy::len_revappend,committed,True,True,True,v4,v5,True,,,False,4.325991423,4.385891472,0.017377936,20,,,,False,False,True,True
Acl2/RevappendCaseStudy::memBool_app,committed,True,True,True,v4,v5,True,,,False,9.717342877,10.45138594,0.097823147,13,,,,False,False,True,True
Acl2/RevappendCaseStudy::memBool_revappend,committed,True,True,True,v4,v5,True,,,False,10.566434176,11.013867786,0.111983346,19,,,,False,False,True,True
